,서 울,부 산,대 구,인 천,광 주,대 전,울 산,세 종,경 기,강 원,충 북,충 남,전 북,전 남,경 북,경 남,제 주
2014,37.1,22.5,24.9,20.9,18.5,23.7,20.6,16.0,25.3,14.1,13.7,10.5,14.1,12.1,14.1,16.8,13.8
2015,38.3,23.2,25.8,21.6,18.2,24.0,20.2,18.2,26.3,14.3,14.2,10.7,14.4,12.5,14.6,17.4,14.9
2016,41.7,25.5,28.1,22.3,21.2,23.4,22.9,21.7,29.6,15.5,15.8,14.6,17.5,16.4,13.5,20.6,18.3
2017,44.5,28.8,31.9,27.1,23.1,28.9,24.6,26.3,31.2,20.1,17.5,17.2,18.5,13.4,16.7,21.3,21.2
2018,48.4,30.2,31.8,31.4,23.7,30.2,26.8,31.1,38.5,18.8,23.6,19.1,20.1,16.6,19.0,23.3,21.8
2019,55.6,36.0,37.5,36.3,29.7,36.4,30.2,37.3,41.4,21.9,23.6,23.8,26.7,19.7,21.6,24.4,28.1
2020,60.5,37.3,38.1,39.4,33.7,39.7,32.1,40.5,45.0,25.1,26.5,24.5,26.3,21.4,22.9,28.4,30.1
2021,63.4,40.0,42.7,39.1,35.6,41.9,33.1,43.2,46.3,28.3,29.3,28.4,31.1,22.9,27.2,31.2,30.5
2022,70.3,43.3,47.3,44.9,38.7,40.2,36.7,48.1,51.8,29.9,31.9,31.7,34.4,23.5,28.6,31.8,32.6
