,서 울,부 산,대 구,인 천,광 주,대 전,울 산,세 종,경 기,강 원,충 북,충 남,전 북,전 남,경 북,경 남,제 주
2014,34.9,26.8,26.7,22.6,27.3,27.1,25.4,21.5,29.1,20.4,21.6,20.2,23.4,21.3,22.5,23.3,22.8
2015,35.5,27.6,26.8,22.9,27.2,27.3,26.2,22.1,30.0,21.2,21.4,19.9,24.0,21.2,22.6,24.0,23.6
2016,37.0,29.2,26.3,23.6,25.1,29.0,25.5,24.1,29.7,21.6,22.6,18.8,21.4,19.1,22.5,22.2,26.9
2017,41.7,33.5,30.6,22.8,27.6,24.7,26.1,32.0,29.4,22.0,22.1,20.2,25.3,19.5,26.4,23.7,26.0
2018,41.5,31.6,33.2,30.0,31.0,29.3,29.1,33.4,33.2,25.5,29.1,20.2,24.5,22.0,26.4,22.6,28.2
2019,46.3,32.5,34.2,33.4,31.9,31.7,30.3,40.2,35.7,20.9,25.9,28.1,27.6,22.6,25.7,28.9,29.8
2020,49.2,34.0,34.4,32.9,33.2,34.9,31.0,37.2,35.7,23.3,25.7,21.1,26.3,23.0,27.2,28.1,28.9
2021,52.6,42.1,42.2,38.9,37.4,35.3,34.0,40.6,42.2,28.9,28.7,29.2,30.0,25.6,31.6,29.8,34.2
2022,60.5,45.0,46.9,39.7,41.4,41.1,39.3,45.8,47.3,30.7,35.0,33.6,30.3,30.8,32.4,35.4,36.4
