숫자|기수|서수|서수(단위용)|다이얼(공)|다이얼(영)
0|영|영|영|공|영
1|일|하나|한|일|일
2|이|둘|두|이|이
3|삼|셋|세|삼|삼
4|사|넷|네|사|사
5|오|다섯|다섯|오|오
6|육|여섯|여섯|육|육
7|칠|일곱|일곱|칠|칠
8|팔|여덟|여덟|팔|팔
9|구|아홉|아홉|구|구
10|십|열|열|일공|일영
11|십 일|열 하나|열 한|일일|일일
12|십 이|열 둘|열 두|일이|일이
13|십 삼|열 셋|열 세|일삼|일삼
14|십 사|열 넷|열 네|일사|일사
15|십 오|열 다섯|열 다섯|일오|일오
16|십 육|열 여섯|열 여섯|일육|일육
17|십 칠|열 일곱|열 일곱|일칠|일칠
18|십 팔|열 여덟|열 여덟|일팔|일팔
19|십 구|열 아홉|열 아홉|일구|일구
20|이십|스물|스무|이공|이영
21|이십 일|스물 하나|스물 한|이일|이일
22|이십 이|스물 둘|스물 두|이이|이이
23|이십 삼|스물 셋|스물 세|이삼|이삼
24|이십 사|스물 넷|스물 네|이사|이사
25|이십 오|스물 다섯|스물 다섯|이오|이오
26|이십 육|스물 여섯|스물 여섯|이육|이육
27|이십 칠|스물 일곱|스물 일곱|이칠|이칠
28|이십 팔|스물 여덟|스물 여덟|이팔|이팔
29|이십 구|스물 아홉|스물 아홉|이구|이구
30|삼십|서른|서른|삼공|삼영
31|삼십 일|서른 하나|서른 한|삼일|삼일
32|삼십 이|서른 둘|서른 두|삼이|삼이
33|삼십 삼|서른 셋|서른 세|삼삼|삼삼
34|삼십 사|서른 넷|서른 네|삼사|삼사
35|삼십 오|서른 다섯|서른 다섯|삼오|삼오
36|삼십 육|서른 여섯|서른 여섯|삼육|삼육
37|삼십 칠|서른 일곱|서른 일곱|삼칠|삼칠
38|삼십 팔|서른 여덟|서른 여덟|삼팔|삼팔
39|삼십 구|서른 아홉|서른 아홉|삼구|삼구
40|사십|마흔|마흔|사공|사영
41|사십 일|마흔 하나|마흔 한|사일|사일
42|사십 이|마흔 둘|마흔 두|사이|사이
43|사십 삼|마흔 셋|마흔 세|사삼|사삼
44|사십 사|마흔 넷|마흔 네|사사|사사
45|사십 오|마흔 다섯|마흔 다섯|사오|사오
46|사십 육|마흔 여섯|마흔 여섯|사육|사육
47|사십 칠|마흔 일곱|마흔 일곱|사칠|사칠
48|사십 팔|마흔 여덟|마흔 여덟|사팔|사팔
49|사십 구|마흔 아홉|마흔 아홉|사구|사구
50|오십|쉰|쉰|오공|오영
51|오십 일|쉰 하나|쉰 한|오일|오일
52|오십 이|쉰 둘|쉰 두|오이|오이
53|오십 삼|쉰 셋|쉰 세|오삼|오삼
54|오십 사|쉰 넷|쉰 네|오사|오사
55|오십 오|쉰 다섯|쉰 다섯|오오|오오
56|오십 육|쉰 여섯|쉰 여섯|오육|오육
57|오십 칠|쉰 일곱|쉰 일곱|오칠|오칠
58|오십 팔|쉰 여덟|쉰 여덟|오팔|오팔
59|오십 구|쉰 아홉|쉰 아홉|오구|오구
60|육십|예순|예순|육공|육영
61|육십 일|예순 하나|예순 한|육일|육일
62|육십 이|예순 둘|예순 두|육이|육이
63|육십 삼|예순 셋|예순 세|육삼|육삼
64|육십 사|예순 넷|예순 네|육사|육사
65|육십 오|예순 다섯|예순 다섯|육오|육오
66|육십 육|예순 여섯|예순 여섯|육육|육육
67|육십 칠|예순 일곱|예순 일곱|육칠|육칠
68|육십 팔|예순 여덟|예순 여덟|육팔|육팔
69|육십 구|예순 아홉|예순 아홉|육구|육구
70|칠십|일흔|일흔|칠공|칠영
71|칠십 일|일흔 하나|일흔 한|칠일|칠일
72|칠십 이|일흔 둘|일흔 두|칠이|칠이
73|칠십 삼|일흔 셋|일흔 세|칠삼|칠삼
74|칠십 사|일흔 넷|일흔 네|칠사|칠사
75|칠십 오|일흔 다섯|일흔 다섯|칠오|칠오
76|칠십 육|일흔 여섯|일흔 여섯|칠육|칠육
77|칠십 칠|일흔 일곱|일흔 일곱|칠칠|칠칠
78|칠십 팔|일흔 여덟|일흔 여덟|칠팔|칠팔
79|칠십 구|일흔 아홉|일흔 아홉|칠구|칠구
80|팔십|여든|여든|팔공|팔영
81|팔십 일|여든 하나|여든 한|팔일|팔일
82|팔십 이|여든 둘|여든 두|팔이|팔이
83|팔십 삼|여든 셋|여든 세|팔삼|팔삼
84|팔십 사|여든 넷|여든 네|팔사|팔사
85|팔십 오|여든 다섯|여든 다섯|팔오|팔오
86|팔십 육|여든 여섯|여든 여섯|팔육|팔육
87|팔십 칠|여든 일곱|여든 일곱|팔칠|팔칠
88|팔십 팔|여든 여덟|여든 여덟|팔팔|팔팔
89|팔십 구|여든 아홉|여든 아홉|팔구|팔구
90|구십|아흔|아흔|구공|구영
91|구십 일|아흔 하나|아흔 한|구일|구일
92|구십 이|아흔 둘|아흔 두|구이|구이
93|구십 삼|아흔 셋|아흔 세|구삼|구삼
94|구십 사|아흔 넷|아흔 네|구사|구사
95|구십 오|아흔 다섯|아흔 다섯|구오|구오
96|구십 육|아흔 여섯|아흔 여섯|구육|구육
97|구십 칠|아흔 일곱|아흔 일곱|구칠|구칠
98|구십 팔|아흔 여덟|아흔 여덟|구팔|구팔
99|구십 구|아흔 아홉|아흔 아홉|구구|구구
100|백|백|백|일공공|일영영
101|백 일|백 하나|백 한|일공일|일영일
102|백 이|백 둘|백 두|일공이|일영이
103|백 삼|백 셋|백 세|일공삼|일영삼
104|백 사|백 넷|백 네|일공사|일영사
105|백 오|백 다섯|백 다섯|일공이오|일영오
106|백 육|백 여섯|백 여섯|일공육|일영육
107|백 칠|백 일곱|백 일곱|일공칠|일영칠
108|백 팔|백 여덟|백 여덟|일공팔|일영팔
109|백 구|백 아홉|백 아홉|일공구|일영구
110|백 십|백 십|백 십|일일공|일일영
111|백 십 일|백 십 하나|백 십 한|일일일|일일일
112|백 십 이|백 십 둘|백 십 두|일일이|일일이
113|백 십 삼|백 십 셋|백 십 세|일일삼|일일삼
114|백 십 사|백 십 넷|백 십 네|일일사|일일사
115|백 십 오|백 십 다섯|백 십 다섯|일일오|일일오
116|백 십 육|백 십 여섯|백 십 여섯|일일육|일일육
117|백 십 칠|백 십 일곱|백 십 일곱|일일칠|일일칠
118|백 십 팔|백 십 여덟|백 십 여덟|일일팔|일일팔
119|백 십 구|백 십 아홉|백 십 아홉|일일구|일일구
120|백 이십|백 스물|백 스무|일이공|일이영
121|백 이십 일|백 스물 하나|백 스물 한|일이일|일이일
122|백 이십 이|백 스물 둘|백 스물 두|일이이|일이이
123|백 이십 삼|백 스물 셋|백 스물 세|일이삼|일이삼
124|백 이십 사|백 스물 넷|백 스물 네|일이사|일이사
125|백 이십 오|백 스물 다섯|백 스물 다섯|일이오|일이오
126|백 이십 육|백 스물 여섯|백 스물 여섯|일이육|일이육
127|백 이십 칠|백 스물 일곱|백 스물 일곱|일이칠|일이칠
128|백 이십 팔|백 스물 여덟|백 스물 여덟|일이팔|일이팔
129|백 이십 구|백 스물 아홉|백 스물 아홉|일이구|일이구
130|백 삼십|백 서른|백 서른|일삼공|일삼영
131|백 삼십 일|백 서른 하나|백 서른 한|일삼일|일삼일
132|백 삼십 이|백 서른 둘|백 서른 두|일삼이|일삼이
133|백 삼십 삼|백 서른 셋|백 서른 세|일삼삼|일삼삼
134|백 삼십 사|백 서른 넷|백 서른 네|일삼사|일삼사
135|백 삼십 오|백 서른 다섯|백 서른 다섯|일삼오|일삼오
136|백 삼십 육|백 서른 여섯|백 서른 여섯|일삼육|일삼육
137|백 삼십 칠|백 서른 일곱|백 서른 일곱|일삼칠|일삼칠
138|백 삼십 팔|백 서른 여덟|백 서른 여덟|일삼팔|일삼팔
139|백 삼십 구|백 서른 아홉|백 서른 아홉|일삼구|일삼구
140|백 사십|백 마흔|백 마흔|일사공|일사영
141|백 사십 일|백 마흔 하나|백 마흔 한|일사일|일사일
142|백 사십 이|백 마흔 둘|백 마흔 두|일사이|일사이
143|백 사십 삼|백 마흔 셋|백 마흔 세|일사삼|일사삼
144|백 사십 사|백 마흔 넷|백 마흔 네|일사사|일사사
145|백 사십 오|백 마흔 다섯|백 마흔 다섯|일사오|일사오
146|백 사십 육|백 마흔 여섯|백 마흔 여섯|일사육|일사육
147|백 사십 칠|백 마흔 일곱|백 마흔 일곱|일사칠|일사칠
148|백 사십 팔|백 마흔 여덟|백 마흔 여덟|일사팔|일사팔
149|백 사십 구|백 마흔 아홉|백 마흔 아홉|일사구|일사구
150|백 오십|백 쉰|백 쉰|일오공|일오영
151|백 오십 일|백 쉰 하나|백 쉰 한|일오일|일오일
152|백 오십 이|백 쉰 둘|백 쉰 두|일오이|일오이
153|백 오십 삼|백 쉰 셋|백 쉰 세|일오삼|일오삼
154|백 오십 사|백 쉰 넷|백 쉰 네|일오사|일오사
155|백 오십 오|백 쉰 다섯|백 쉰 다섯|일오오|일오오
156|백 오십 육|백 쉰 여섯|백 쉰 여섯|일오육|일오육
157|백 오십 칠|백 쉰 일곱|백 쉰 일곱|일오칠|일오칠
158|백 오십 팔|백 쉰 여덟|백 쉰 여덟|일오팔|일오팔
159|백 오십 구|백 쉰 아홉|백 쉰 아홉|일오구|일오구
160|백 육십|백 예순|백 예순|일육공|일육영
161|백 육십 일|백 예순 하나|백 예순 한|일육일|일육일
162|백 육십 이|백 예순 둘|백 예순 두|일육이|일육이
163|백 육십 삼|백 예순 셋|백 예순 세|일육삼|일육삼
164|백 육십 사|백 예순 넷|백 예순 네|일육사|일육사
165|백 육십 오|백 예순 다섯|백 예순 다섯|일육오|일육오
166|백 육십 육|백 예순 여섯|백 예순 여섯|일육육|일육육
167|백 육십 칠|백 예순 일곱|백 예순 일곱|일육칠|일육칠
168|백 육십 팔|백 예순 여덟|백 예순 여덟|일육팔|일육팔
169|백 육십 구|백 예순 아홉|백 예순 아홉|일육구|일육구
170|백 칠십|백 일흔|백 일흔|일칠공|일칠영
171|백 칠십 일|백 일흔 하나|백 일흔 한|일칠일|일칠일
172|백 칠십 이|백 일흔 둘|백 일흔 두|일칠이|일칠이
173|백 칠십 삼|백 일흔 셋|백 일흔 세|일칠삼|일칠삼
174|백 칠십 사|백 일흔 넷|백 일흔 네|일칠사|일칠사
175|백 칠십 오|백 일흔 다섯|백 일흔 다섯|일칠오|일칠오
176|백 칠십 육|백 일흔 여섯|백 일흔 여섯|일칠육|일칠육
177|백 칠십 칠|백 일흔 일곱|백 일흔 일곱|일칠칠|일칠칠
178|백 칠십 팔|백 일흔 여덟|백 일흔 여덟|일칠팔|일칠팔
179|백 칠십 구|백 일흔 아홉|백 일흔 아홉|일칠구|일칠구
180|백 팔십|백 여든|백 여든|일팔공|일팔영
181|백 팔십 일|백 여든 하나|백 여든 한|일팔일|일팔일
182|백 팔십 이|백 여든 둘|백 여든 두|일팔이|일팔이
183|백 팔십 삼|백 여든 셋|백 여든 세|일팔삼|일팔삼
184|백 팔십 사|백 여든 넷|백 여든 네|일팔사|일팔사
185|백 팔십 오|백 여든 다섯|백 여든 다섯|일팔오|일팔오
186|백 팔십 육|백 여든 여섯|백 여든 여섯|일팔육|일팔육
187|백 팔십 칠|백 여든 일곱|백 여든 일곱|일팔칠|일팔칠
188|백 팔십 팔|백 여든 여덟|백 여든 여덟|일팔팔|일팔팔
189|백 팔십 구|백 여든 아홉|백 여든 아홉|일팔구|일팔구
190|백 구십|백 아흔|백 아흔|일구공|일구영
191|백 구십 일|백 아흔 하나|백 아흔 한|일구일|일구일
192|백 구십 이|백 아흔 둘|백 아흔 두|일구이|일구이
193|백 구십 삼|백 아흔 셋|백 아흔 세|일구삼|일구삼
194|백 구십 사|백 아흔 넷|백 아흔 네|일구사|일구사
195|백 구십 오|백 아흔 다섯|백 아흔 다섯|일구오|일구오
196|백 구십 육|백 아흔 여섯|백 아흔 여섯|일구육|일구육
197|백 구십 칠|백 아흔 일곱|백 아흔 일곱|일구칠|일구칠
198|백 구십 팔|백 아흔 여덟|백 아흔 여덟|일구팔|일구팔
199|백 구십 구|백 아흔 아홉|백 아흔 아홉|일구구|일구구
200|이백|이백|이백|이공공|이영영
201|이백 일|이백 하나|이백 한|이공일|이영일
202|이백 이|이백 둘|이백 두|이공이|이영이
203|이백 삼|이백 셋|이백 세|이공삼|이영삼
204|이백 사|이백 넷|이백 네|이공사|이영사
205|이백 오|이백 다섯|이백 다섯|이공이오|이영오
206|이백 육|이백 여섯|이백 여섯|이공육|이영육
207|이백 칠|이백 일곱|이백 일곱|이공칠|이영칠
208|이백 팔|이백 여덟|이백 여덟|이공팔|이영팔
209|이백 구|이백 아홉|이백 아홉|이공구|이영구
210|이백 십|이백 십|이백 십|이일공|이일영
211|이백 십 일|이백 십 하나|이백 십 한|이일일|이일일
212|이백 십 이|이백 십 둘|이백 십 두|이일이|이일이
213|이백 십 삼|이백 십 셋|이백 십 세|이일삼|이일삼
214|이백 십 사|이백 십 넷|이백 십 네|이일사|이일사
215|이백 십 오|이백 십 다섯|이백 십 다섯|이일오|이일오
216|이백 십 육|이백 십 여섯|이백 십 여섯|이일육|이일육
217|이백 십 칠|이백 십 일곱|이백 십 일곱|이일칠|이일칠
218|이백 십 팔|이백 십 여덟|이백 십 여덟|이일팔|이일팔
219|이백 십 구|이백 십 아홉|이백 십 아홉|이일구|이일구
220|이백 이십|이백 스물|이백 스무|이이공|이이영
221|이백 이십 일|이백 스물 하나|이백 스물 한|이이일|이이일
222|이백 이십 이|이백 스물 둘|이백 스물 두|이이이|이이이
223|이백 이십 삼|이백 스물 셋|이백 스물 세|이이삼|이이삼
224|이백 이십 사|이백 스물 넷|이백 스물 네|이이사|이이사
225|이백 이십 오|이백 스물 다섯|이백 스물 다섯|이이오|이이오
226|이백 이십 육|이백 스물 여섯|이백 스물 여섯|이이육|이이육
227|이백 이십 칠|이백 스물 일곱|이백 스물 일곱|이이칠|이이칠
228|이백 이십 팔|이백 스물 여덟|이백 스물 여덟|이이팔|이이팔
229|이백 이십 구|이백 스물 아홉|이백 스물 아홉|이이구|이이구
230|이백 삼십|이백 서른|이백 서른|이삼공|이삼영
231|이백 삼십 일|이백 서른 하나|이백 서른 한|이삼일|이삼일
232|이백 삼십 이|이백 서른 둘|이백 서른 두|이삼이|이삼이
233|이백 삼십 삼|이백 서른 셋|이백 서른 세|이삼삼|이삼삼
234|이백 삼십 사|이백 서른 넷|이백 서른 네|이삼사|이삼사
235|이백 삼십 오|이백 서른 다섯|이백 서른 다섯|이삼오|이삼오
236|이백 삼십 육|이백 서른 여섯|이백 서른 여섯|이삼육|이삼육
237|이백 삼십 칠|이백 서른 일곱|이백 서른 일곱|이삼칠|이삼칠
238|이백 삼십 팔|이백 서른 여덟|이백 서른 여덟|이삼팔|이삼팔
239|이백 삼십 구|이백 서른 아홉|이백 서른 아홉|이삼구|이삼구
240|이백 사십|이백 마흔|이백 마흔|이사공|이사영
241|이백 사십 일|이백 마흔 하나|이백 마흔 한|이사일|이사일
242|이백 사십 이|이백 마흔 둘|이백 마흔 두|이사이|이사이
243|이백 사십 삼|이백 마흔 셋|이백 마흔 세|이사삼|이사삼
244|이백 사십 사|이백 마흔 넷|이백 마흔 네|이사사|이사사
245|이백 사십 오|이백 마흔 다섯|이백 마흔 다섯|이사오|이사오
246|이백 사십 육|이백 마흔 여섯|이백 마흔 여섯|이사육|이사육
247|이백 사십 칠|이백 마흔 일곱|이백 마흔 일곱|이사칠|이사칠
248|이백 사십 팔|이백 마흔 여덟|이백 마흔 여덟|이사팔|이사팔
249|이백 사십 구|이백 마흔 아홉|이백 마흔 아홉|이사구|이사구
250|이백 오십|이백 쉰|이백 쉰|이오공|이오영
251|이백 오십 일|이백 쉰 하나|이백 쉰 한|이오일|이오일
252|이백 오십 이|이백 쉰 둘|이백 쉰 두|이오이|이오이
253|이백 오십 삼|이백 쉰 셋|이백 쉰 세|이오삼|이오삼
254|이백 오십 사|이백 쉰 넷|이백 쉰 네|이오사|이오사
255|이백 오십 오|이백 쉰 다섯|이백 쉰 다섯|이오오|이오오
256|이백 오십 육|이백 쉰 여섯|이백 쉰 여섯|이오육|이오육
257|이백 오십 칠|이백 쉰 일곱|이백 쉰 일곱|이오칠|이오칠
258|이백 오십 팔|이백 쉰 여덟|이백 쉰 여덟|이오팔|이오팔
259|이백 오십 구|이백 쉰 아홉|이백 쉰 아홉|이오구|이오구
260|이백 육십|이백 예순|이백 예순|이육공|이육영
261|이백 육십 일|이백 예순 하나|이백 예순 한|이육일|이육일
262|이백 육십 이|이백 예순 둘|이백 예순 두|이육이|이육이
263|이백 육십 삼|이백 예순 셋|이백 예순 세|이육삼|이육삼
264|이백 육십 사|이백 예순 넷|이백 예순 네|이육사|이육사
265|이백 육십 오|이백 예순 다섯|이백 예순 다섯|이육오|이육오
266|이백 육십 육|이백 예순 여섯|이백 예순 여섯|이육육|이육육
267|이백 육십 칠|이백 예순 일곱|이백 예순 일곱|이육칠|이육칠
268|이백 육십 팔|이백 예순 여덟|이백 예순 여덟|이육팔|이육팔
269|이백 육십 구|이백 예순 아홉|이백 예순 아홉|이육구|이육구
270|이백 칠십|이백 일흔|이백 일흔|이칠공|이칠영
271|이백 칠십 일|이백 일흔 하나|이백 일흔 한|이칠일|이칠일
272|이백 칠십 이|이백 일흔 둘|이백 일흔 두|이칠이|이칠이
273|이백 칠십 삼|이백 일흔 셋|이백 일흔 세|이칠삼|이칠삼
274|이백 칠십 사|이백 일흔 넷|이백 일흔 네|이칠사|이칠사
275|이백 칠십 오|이백 일흔 다섯|이백 일흔 다섯|이칠오|이칠오
276|이백 칠십 육|이백 일흔 여섯|이백 일흔 여섯|이칠육|이칠육
277|이백 칠십 칠|이백 일흔 일곱|이백 일흔 일곱|이칠칠|이칠칠
278|이백 칠십 팔|이백 일흔 여덟|이백 일흔 여덟|이칠팔|이칠팔
279|이백 칠십 구|이백 일흔 아홉|이백 일흔 아홉|이칠구|이칠구
280|이백 팔십|이백 여든|이백 여든|이팔공|이팔영
281|이백 팔십 일|이백 여든 하나|이백 여든 한|이팔일|이팔일
282|이백 팔십 이|이백 여든 둘|이백 여든 두|이팔이|이팔이
283|이백 팔십 삼|이백 여든 셋|이백 여든 세|이팔삼|이팔삼
284|이백 팔십 사|이백 여든 넷|이백 여든 네|이팔사|이팔사
285|이백 팔십 오|이백 여든 다섯|이백 여든 다섯|이팔오|이팔오
286|이백 팔십 육|이백 여든 여섯|이백 여든 여섯|이팔육|이팔육
287|이백 팔십 칠|이백 여든 일곱|이백 여든 일곱|이팔칠|이팔칠
288|이백 팔십 팔|이백 여든 여덟|이백 여든 여덟|이팔팔|이팔팔
289|이백 팔십 구|이백 여든 아홉|이백 여든 아홉|이팔구|이팔구
290|이백 구십|이백 아흔|이백 아흔|이구공|이구영
291|이백 구십 일|이백 아흔 하나|이백 아흔 한|이구일|이구일
292|이백 구십 이|이백 아흔 둘|이백 아흔 두|이구이|이구이
293|이백 구십 삼|이백 아흔 셋|이백 아흔 세|이구삼|이구삼
294|이백 구십 사|이백 아흔 넷|이백 아흔 네|이구사|이구사
295|이백 구십 오|이백 아흔 다섯|이백 아흔 다섯|이구오|이구오
296|이백 구십 육|이백 아흔 여섯|이백 아흔 여섯|이구육|이구육
297|이백 구십 칠|이백 아흔 일곱|이백 아흔 일곱|이구칠|이구칠
298|이백 구십 팔|이백 아흔 여덟|이백 아흔 여덟|이구팔|이구팔
299|이백 구십 구|이백 아흔 아홉|삼백|이구구|이구구
300|삼백|삼백|삼백|삼공공|삼영영
301|삼백 일|삼백 하나|삼백 한|삼공일|삼영일
302|삼백 이|삼백 둘|삼백 두|삼공이|삼영이
303|삼백 삼|삼백 셋|삼백 세|삼공삼|삼영삼
304|삼백 사|삼백 넷|삼백 네|삼공사|삼영사
305|삼백 오|삼백 다섯|삼백 다섯|삼공이오|삼영오
306|삼백 육|삼백 여섯|삼백 여섯|삼공육|삼영육
307|삼백 칠|삼백 일곱|삼백 일곱|삼공칠|삼영칠
308|삼백 팔|삼백 여덟|삼백 여덟|삼공팔|삼영팔
309|삼백 구|삼백 아홉|삼백 아홉|삼공구|삼영구
310|삼백 십|삼백 십|삼백 십|삼일공|삼일영
311|삼백 십 일|삼백 십 하나|삼백 십 한|삼일일|삼일일
312|삼백 십 이|삼백 십 둘|삼백 십 두|삼일이|삼일이
313|삼백 십 삼|삼백 십 셋|삼백 십 세|삼일삼|삼일삼
314|삼백 십 사|삼백 십 넷|삼백 십 네|삼일사|삼일사
315|삼백 십 오|삼백 십 다섯|삼백 십 다섯|삼일오|삼일오
316|삼백 십 육|삼백 십 여섯|삼백 십 여섯|삼일육|삼일육
317|삼백 십 칠|삼백 십 일곱|삼백 십 일곱|삼일칠|삼일칠
318|삼백 십 팔|삼백 십 여덟|삼백 십 여덟|삼일팔|삼일팔
319|삼백 십 구|삼백 십 아홉|삼백 십 아홉|삼일구|삼일구
320|삼백 이십|삼백 스물|삼백 스무|삼이공|삼이영
321|삼백 이십 일|삼백 스물 하나|삼백 스물 한|삼이일|삼이일
322|삼백 이십 이|삼백 스물 둘|삼백 스물 두|삼이이|삼이이
323|삼백 이십 삼|삼백 스물 셋|삼백 스물 세|삼이삼|삼이삼
324|삼백 이십 사|삼백 스물 넷|삼백 스물 네|삼이사|삼이사
325|삼백 이십 오|삼백 스물 다섯|삼백 스물 다섯|삼이오|삼이오
326|삼백 이십 육|삼백 스물 여섯|삼백 스물 여섯|삼이육|삼이육
327|삼백 이십 칠|삼백 스물 일곱|삼백 스물 일곱|삼이칠|삼이칠
328|삼백 이십 팔|삼백 스물 여덟|삼백 스물 여덟|삼이팔|삼이팔
329|삼백 이십 구|삼백 스물 아홉|삼백 스물 아홉|삼이구|삼이구
330|삼백 삼십|삼백 서른|삼백 서른|삼삼공|삼삼영
331|삼백 삼십 일|삼백 서른 하나|삼백 서른 한|삼삼일|삼삼일
332|삼백 삼십 이|삼백 서른 둘|삼백 서른 두|삼삼이|삼삼이
333|삼백 삼십 삼|삼백 서른 셋|삼백 서른 세|삼삼삼|삼삼삼
334|삼백 삼십 사|삼백 서른 넷|삼백 서른 네|삼삼사|삼삼사
335|삼백 삼십 오|삼백 서른 다섯|삼백 서른 다섯|삼삼오|삼삼오
336|삼백 삼십 육|삼백 서른 여섯|삼백 서른 여섯|삼삼육|삼삼육
337|삼백 삼십 칠|삼백 서른 일곱|삼백 서른 일곱|삼삼칠|삼삼칠
338|삼백 삼십 팔|삼백 서른 여덟|삼백 서른 여덟|삼삼팔|삼삼팔
339|삼백 삼십 구|삼백 서른 아홉|삼백 서른 아홉|삼삼구|삼삼구
340|삼백 사십|삼백 마흔|삼백 마흔|삼사공|삼사영
341|삼백 사십 일|삼백 마흔 하나|삼백 마흔 한|삼사일|삼사일
342|삼백 사십 이|삼백 마흔 둘|삼백 마흔 두|삼사이|삼사이
343|삼백 사십 삼|삼백 마흔 셋|삼백 마흔 세|삼사삼|삼사삼
344|삼백 사십 사|삼백 마흔 넷|삼백 마흔 네|삼사사|삼사사
345|삼백 사십 오|삼백 마흔 다섯|삼백 마흔 다섯|삼사오|삼사오
346|삼백 사십 육|삼백 마흔 여섯|삼백 마흔 여섯|삼사육|삼사육
347|삼백 사십 칠|삼백 마흔 일곱|삼백 마흔 일곱|삼사칠|삼사칠
348|삼백 사십 팔|삼백 마흔 여덟|삼백 마흔 여덟|삼사팔|삼사팔
349|삼백 사십 구|삼백 마흔 아홉|삼백 마흔 아홉|삼사구|삼사구
350|삼백 오십|삼백 쉰|삼백 쉰|삼오공|삼오영
351|삼백 오십 일|삼백 쉰 하나|삼백 쉰 한|삼오일|삼오일
352|삼백 오십 이|삼백 쉰 둘|삼백 쉰 두|삼오이|삼오이
353|삼백 오십 삼|삼백 쉰 셋|삼백 쉰 세|삼오삼|삼오삼
354|삼백 오십 사|삼백 쉰 넷|삼백 쉰 네|삼오사|삼오사
355|삼백 오십 오|삼백 쉰 다섯|삼백 쉰 다섯|삼오오|삼오오
356|삼백 오십 육|삼백 쉰 여섯|삼백 쉰 여섯|삼오육|삼오육
357|삼백 오십 칠|삼백 쉰 일곱|삼백 쉰 일곱|삼오칠|삼오칠
358|삼백 오십 팔|삼백 쉰 여덟|삼백 쉰 여덟|삼오팔|삼오팔
359|삼백 오십 구|삼백 쉰 아홉|삼백 쉰 아홉|삼오구|삼오구
360|삼백 육십|삼백 예순|삼백 예순|삼육공|삼육영
361|삼백 육십 일|삼백 예순 하나|삼백 예순 한|삼육일|삼육일
362|삼백 육십 이|삼백 예순 둘|삼백 예순 두|삼육이|삼육이
363|삼백 육십 삼|삼백 예순 셋|삼백 예순 세|삼육삼|삼육삼
364|삼백 육십 사|삼백 예순 넷|삼백 예순 네|삼육사|삼육사
365|삼백 육십 오|삼백 예순 다섯|삼백 예순 다섯|삼육오|삼육오
366|삼백 육십 육|삼백 예순 여섯|삼백 예순 여섯|삼육육|삼육육
367|삼백 육십 칠|삼백 예순 일곱|삼백 예순 일곱|삼육칠|삼육칠
368|삼백 육십 팔|삼백 예순 여덟|삼백 예순 여덟|삼육팔|삼육팔
369|삼백 육십 구|삼백 예순 아홉|삼백 예순 아홉|삼육구|삼육구
370|삼백 칠십|삼백 일흔|삼백 일흔|삼칠공|삼칠영
371|삼백 칠십 일|삼백 일흔 하나|삼백 일흔 한|삼칠일|삼칠일
372|삼백 칠십 이|삼백 일흔 둘|삼백 일흔 두|삼칠이|삼칠이
373|삼백 칠십 삼|삼백 일흔 셋|삼백 일흔 세|삼칠삼|삼칠삼
374|삼백 칠십 사|삼백 일흔 넷|삼백 일흔 네|삼칠사|삼칠사
375|삼백 칠십 오|삼백 일흔 다섯|삼백 일흔 다섯|삼칠오|삼칠오
376|삼백 칠십 육|삼백 일흔 여섯|삼백 일흔 여섯|삼칠육|삼칠육
377|삼백 칠십 칠|삼백 일흔 일곱|삼백 일흔 일곱|삼칠칠|삼칠칠
378|삼백 칠십 팔|삼백 일흔 여덟|삼백 일흔 여덟|삼칠팔|삼칠팔
379|삼백 칠십 구|삼백 일흔 아홉|삼백 일흔 아홉|삼칠구|삼칠구
380|삼백 팔십|삼백 여든|삼백 여든|삼팔공|삼팔영
381|삼백 팔십 일|삼백 여든 하나|삼백 여든 한|삼팔일|삼팔일
382|삼백 팔십 이|삼백 여든 둘|삼백 여든 두|삼팔이|삼팔이
383|삼백 팔십 삼|삼백 여든 셋|삼백 여든 세|삼팔삼|삼팔삼
384|삼백 팔십 사|삼백 여든 넷|삼백 여든 네|삼팔사|삼팔사
385|삼백 팔십 오|삼백 여든 다섯|삼백 여든 다섯|삼팔오|삼팔오
386|삼백 팔십 육|삼백 여든 여섯|삼백 여든 여섯|삼팔육|삼팔육
387|삼백 팔십 칠|삼백 여든 일곱|삼백 여든 일곱|삼팔칠|삼팔칠
388|삼백 팔십 팔|삼백 여든 여덟|삼백 여든 여덟|삼팔팔|삼팔팔
389|삼백 팔십 구|삼백 여든 아홉|삼백 여든 아홉|삼팔구|삼팔구
390|삼백 구십|삼백 아흔|삼백 아흔|삼구공|삼구영
391|삼백 구십 일|삼백 아흔 하나|삼백 아흔 한|삼구일|삼구일
392|삼백 구십 이|삼백 아흔 둘|삼백 아흔 두|삼구이|삼구이
393|삼백 구십 삼|삼백 아흔 셋|삼백 아흔 세|삼구삼|삼구삼
394|삼백 구십 사|삼백 아흔 넷|삼백 아흔 네|삼구사|삼구사
395|삼백 구십 오|삼백 아흔 다섯|삼백 아흔 다섯|삼구오|삼구오
396|삼백 구십 육|삼백 아흔 여섯|삼백 아흔 여섯|삼구육|삼구육
397|삼백 구십 칠|삼백 아흔 일곱|삼백 아흔 일곱|삼구칠|삼구칠
398|삼백 구십 팔|삼백 아흔 여덟|삼백 아흔 여덟|삼구팔|삼구팔
399|삼백 구십 구|삼백 아흔 아홉|사백|삼구구|삼구구
