숫자|기수|서수|서수(단위용)|다이얼(공)|다이얼(영)
7989|칠천 구백 팔십 구|칠천 구백 여든 아홉|칠천 구백 여든 아홉|칠구팔구|칠구팔구
7990|칠천 구백 구십|칠천 구백 아흔|칠천 구백 아흔|칠구구공|칠구구영
7991|칠천 구백 구십 일|칠천 구백 아흔 하나|칠천 구백 아흔 한|칠구구일|칠구구일
7992|칠천 구백 구십 이|칠천 구백 아흔 둘|칠천 구백 아흔 두|칠구구이|칠구구이
7993|칠천 구백 구십 삼|칠천 구백 아흔 셋|칠천 구백 아흔 세|칠구구삼|칠구구삼
7994|칠천 구백 구십 사|칠천 구백 아흔 넷|칠천 구백 아흔 네|칠구구사|칠구구사
7995|칠천 구백 구십 오|칠천 구백 아흔 다섯|칠천 구백 아흔 다섯|칠구구오|칠구구오
7996|칠천 구백 구십 육|칠천 구백 아흔 여섯|칠천 구백 아흔 여섯|칠구구육|칠구구육
7997|칠천 구백 구십 칠|칠천 구백 아흔 일곱|칠천 구백 아흔 일곱|칠구구칠|칠구구칠
7998|칠천 구백 구십 팔|칠천 구백 아흔 여덟|칠천 구백 아흔 여덟|칠구구팔|칠구구팔
7999|칠천 구백 구십 구|칠천 구백 아흔 아홉|칠천 구백 아흔 아홉|칠구구구|칠구구구
8000|팔천|팔천|팔천|팔공공공|팔영영영
8001|팔천 일|팔천 하나|팔천 한|팔공공일|팔영영일
8002|팔천 이|팔천 둘|팔천 두|팔공공이|팔영영이
8003|팔천 삼|팔천 셋|팔천 세|팔공공삼|팔영영삼
8004|팔천 사|팔천 넷|팔천 네|팔공공사|팔영영사
8005|팔천 오|팔천 다섯|팔천 다섯|팔공공이오|팔영영오
8006|팔천 육|팔천 여섯|팔천 여섯|팔공공육|팔영영육
8007|팔천 칠|팔천 일곱|팔천 일곱|팔공공칠|팔영영칠
8008|팔천 팔|팔천 여덟|팔천 여덟|팔공공팔|팔영영팔
8009|팔천 구|팔천 아홉|팔천 아홉|팔공공구|팔영영구
8010|팔천 십|팔천 열|팔천 열|팔공일공|팔영일영
8011|팔천 십 일|팔천 열 하나|팔천 열 한|팔공일일|팔영일일
8012|팔천 십 이|팔천 열 둘|팔천 열 두|팔공일이|팔영일이
8013|팔천 십 삼|팔천 열 셋|팔천 열 세|팔공일삼|팔영일삼
8014|팔천 십 사|팔천 열 넷|팔천 열 네|팔공일사|팔영일사
8015|팔천 십 오|팔천 열 다섯|팔천 열 다섯|팔공일오|팔영일오
8016|팔천 십 육|팔천 열 여섯|팔천 열 여섯|팔공일육|팔영일육
8017|팔천 십 칠|팔천 열 일곱|팔천 열 일곱|팔공일칠|팔영일칠
8018|팔천 십 팔|팔천 열 여덟|팔천 열 여덟|팔공일팔|팔영일팔
8019|팔천 십 구|팔천 열 아홉|팔천 열 아홉|팔공일구|팔영일구
8020|팔천 이십|팔천 스물|팔천 스무|팔공이공|팔영이영
8021|팔천 이십 일|팔천 스물 하나|팔천 스물 한|팔공이일|팔영이일
8022|팔천 이십 이|팔천 스물 둘|팔천 스물 두|팔공이이|팔영이이
8023|팔천 이십 삼|팔천 스물 셋|팔천 스물 세|팔공이삼|팔영이삼
8024|팔천 이십 사|팔천 스물 넷|팔천 스물 네|팔공이사|팔영이사
8025|팔천 이십 오|팔천 스물 다섯|팔천 스물 다섯|팔공이오|팔영이오
8026|팔천 이십 육|팔천 스물 여섯|팔천 스물 여섯|팔공이육|팔영이육
8027|팔천 이십 칠|팔천 스물 일곱|팔천 스물 일곱|팔공이칠|팔영이칠
8028|팔천 이십 팔|팔천 스물 여덟|팔천 스물 여덟|팔공이팔|팔영이팔
8029|팔천 이십 구|팔천 스물 아홉|팔천 스물 아홉|팔공이구|팔영이구
8030|팔천 삼십|팔천 서른|팔천 서른|팔공삼공|팔영삼영
8031|팔천 삼십 일|팔천 서른 하나|팔천 서른 한|팔공삼일|팔영삼일
8032|팔천 삼십 이|팔천 서른 둘|팔천 서른 두|팔공삼이|팔영삼이
8033|팔천 삼십 삼|팔천 서른 셋|팔천 서른 세|팔공삼삼|팔영삼삼
8034|팔천 삼십 사|팔천 서른 넷|팔천 서른 네|팔공삼사|팔영삼사
8035|팔천 삼십 오|팔천 서른 다섯|팔천 서른 다섯|팔공삼오|팔영삼오
8036|팔천 삼십 육|팔천 서른 여섯|팔천 서른 여섯|팔공삼육|팔영삼육
8037|팔천 삼십 칠|팔천 서른 일곱|팔천 서른 일곱|팔공삼칠|팔영삼칠
8038|팔천 삼십 팔|팔천 서른 여덟|팔천 서른 여덟|팔공삼팔|팔영삼팔
8039|팔천 삼십 구|팔천 서른 아홉|팔천 서른 아홉|팔공삼구|팔영삼구
8040|팔천 사십|팔천 마흔|팔천 마흔|팔공사공|팔영사영
8041|팔천 사십 일|팔천 마흔 하나|팔천 마흔 한|팔공사일|팔영사일
8042|팔천 사십 이|팔천 마흔 둘|팔천 마흔 두|팔공사이|팔영사이
8043|팔천 사십 삼|팔천 마흔 셋|팔천 마흔 세|팔공사삼|팔영사삼
8044|팔천 사십 사|팔천 마흔 넷|팔천 마흔 네|팔공사사|팔영사사
8045|팔천 사십 오|팔천 마흔 다섯|팔천 마흔 다섯|팔공사오|팔영사오
8046|팔천 사십 육|팔천 마흔 여섯|팔천 마흔 여섯|팔공사육|팔영사육
8047|팔천 사십 칠|팔천 마흔 일곱|팔천 마흔 일곱|팔공사칠|팔영사칠
8048|팔천 사십 팔|팔천 마흔 여덟|팔천 마흔 여덟|팔공사팔|팔영사팔
8049|팔천 사십 구|팔천 마흔 아홉|팔천 마흔 아홉|팔공사구|팔영사구
8050|팔천 오십|팔천 쉰|팔천 쉰|팔공오공|팔영오영
8051|팔천 오십 일|팔천 쉰 하나|팔천 쉰 한|팔공오일|팔영오일
8052|팔천 오십 이|팔천 쉰 둘|팔천 쉰 두|팔공오이|팔영오이
8053|팔천 오십 삼|팔천 쉰 셋|팔천 쉰 세|팔공오삼|팔영오삼
8054|팔천 오십 사|팔천 쉰 넷|팔천 쉰 네|팔공오사|팔영오사
8055|팔천 오십 오|팔천 쉰 다섯|팔천 쉰 다섯|팔공오오|팔영오오
8056|팔천 오십 육|팔천 쉰 여섯|팔천 쉰 여섯|팔공오육|팔영오육
8057|팔천 오십 칠|팔천 쉰 일곱|팔천 쉰 일곱|팔공오칠|팔영오칠
8058|팔천 오십 팔|팔천 쉰 여덟|팔천 쉰 여덟|팔공오팔|팔영오팔
8059|팔천 오십 구|팔천 쉰 아홉|팔천 쉰 아홉|팔공오구|팔영오구
8060|팔천 육십|팔천 예순|팔천 예순|팔공육공|팔영육영
8061|팔천 육십 일|팔천 예순 하나|팔천 예순 한|팔공육일|팔영육일
8062|팔천 육십 이|팔천 예순 둘|팔천 예순 두|팔공육이|팔영육이
8063|팔천 육십 삼|팔천 예순 셋|팔천 예순 세|팔공육삼|팔영육삼
8064|팔천 육십 사|팔천 예순 넷|팔천 예순 네|팔공육사|팔영육사
8065|팔천 육십 오|팔천 예순 다섯|팔천 예순 다섯|팔공육오|팔영육오
8066|팔천 육십 육|팔천 예순 여섯|팔천 예순 여섯|팔공육육|팔영육육
8067|팔천 육십 칠|팔천 예순 일곱|팔천 예순 일곱|팔공육칠|팔영육칠
